base-files - 204.2-r11208-ce6496d796
blkid - 2.34-1
bridge - 1.6-3
busybox - 1.30.1-6
ca-bundle - 20200601-1
ca-certificates - 20200601-1
chat - 2.4.7.git-2019-05-25-3
comgt - 0.32-32
curl - 7.66.0-3
ddns-scripts - 2.7.8-13
dnscrypt-proxy - 2018-11-22-f61ca76a-1
dnscrypt-proxy-resolvers - 2018-11-22-f61ca76a-1
dnsmasq-full - 2.80-16.1
dropbear - 2019.78-2
ebtables - 2018-06-27-48cff25d-1
ethtool - 5.2-1
fcgi - 2.4.2-1
firewall - 2019-11-22-8174814a-2
fstools - 2020-05-12-84269037-1
fwtool - 2
getdns - 1.4.2-1
getrandom - 2019-06-16-4df34a4d-3
gl-base-files - 3.0.390-1
gl-base-files-mt - 3.0.390-1
gl-ble-ubus - 3.0.8-1
gl-ble_config_wifi - 2.4.2
gl-cloud-ui - 3.0.22-1
gl-crond - 3.0.4-1
gl-ddns - 3.0.22-1
gl-files-brower - 3.0.8-1
gl-firewall - 3.0.4-1
gl-fw - 3.0.25-1
gl-ipv6 - 3.0.9-1
gl-modem - 3.0.118-1
gl-monitor - 3.0.113-1
gl-mqtt - 3.1.7-1
gl-portal - 3.0.23-1
gl-qos-internal - 3.0.35-1
gl-repeater - 3.1.8-1
gl-route-policy - 3.0.43-1
gl-s2s - 1.0.23-1
gl-sdk - 3.0.539-1
gl-software - 3.0.24-1
gl-tertf - 4.0.22-1
gl-tor - 3.1.0-1
gl-traffic - 1.0.3-1
gl-ui - 3.0.682-1
gl-util - 3.0.197-1
gl-vpn - 3.0.105-1
gl-vpn-server - 3.0.105-1
gl-wan-detect - 3.0.1-1
gl-wg - 3.0.79-1
gl-wg-server - 3.0.79-1
gl-wifi-core - 3.0.185-1
hostapd-common - 2019-08-08-ca8c2bd2-4
httping - 2.5-1
i2c-tools - 4.1-3
ip-full - 5.0.0-2.1
ip6tables - 1.8.3-1
iperf3 - 3.7-1
ipset - 7.3-1
iptables - 1.8.3-1
iptables-mod-conntrack-extra - 1.8.3-1
iptables-mod-hashlimit - 1.8.3-1
iptables-mod-ipopt - 1.8.3-1
iptables-mod-u32 - 1.8.3-1
iw - 5.0.1-1
iwinfo - 2018-07-24-94b1366d-2
jshn - 2020-05-25-66195aee-1
jsonfilter - 2018-02-04-c7e938d6-1
kernel - 4.14.195-1-ad908e34f690c060ea0db5950582e97b
kmod-cfg80211 - 4.14.195+4.19.137-1-2
kmod-crypto-aead - 4.14.195-1
kmod-crypto-crc32c - 4.14.195-1
kmod-crypto-ecb - 4.14.195-1
kmod-crypto-hash - 4.14.195-1
kmod-crypto-manager - 4.14.195-1
kmod-crypto-null - 4.14.195-1
kmod-crypto-pcompress - 4.14.195-1
kmod-crypto-sha1 - 4.14.195-1
kmod-ebtables - 4.14.195-1
kmod-fs-exfat - 4.14.195+2018-04-17-01c30ad5-2
kmod-fs-ext4 - 4.14.195-1
kmod-fs-ntfs - 4.14.195-1
kmod-fs-vfat - 4.14.195-1
kmod-fuse - 4.14.195-1
kmod-gpio-button-hotplug - 4.14.195-3
kmod-i2c-algo-bit - 4.14.195-1
kmod-i2c-core - 4.14.195-1
kmod-i2c-gpio - 4.14.195-1
kmod-i2c-gpio-custom - 4.14.195-3
